"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
8.71627944767568e-24,3.8871842348735,0.6,0.019,6.69880940671667e-19,"H2-T-ps-201",6.69880940671667e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.94216111059277e-24,5.15675635468248,0.533,0.01,6.87240849993496e-19,"Sgpl1-201",6.87240849993496e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
9.09001718405185e-24,4.60581134907951,0.567,0.014,6.98604180663121e-19,"Hk2-201",6.98604180663121e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
9.65180116407999e-24,4.49666262460319,0.567,0.014,7.41779526664204e-19,"Ifi30-201",7.41779526664204e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.08686308746618e-23,4.57629803353043,0.5,0.005,8.35297757241261e-19,"Rmi1-201",8.35297757241261e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.16142486845944e-23,5.05964103906945,0.5,0.005,8.92601468405819e-19,"Lrp12-201",8.92601468405819e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.16142486845944e-23,5.05551342168402,0.5,0.005,8.92601468405819e-19,"Tmbim1-201",8.92601468405819e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.16142486845944e-23,4.052829833811,0.5,0.005,8.92601468405819e-19,"Col5a1-201",8.92601468405819e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.2245185430188e-23,4.94470158554904,0.533,0.01,9.4109148105167e-19,"Zbed6-201",9.4109148105167e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.2410490247106e-23,3.83777810249722,0.5,0.005,9.53795817451083e-19,"Srpk2-201",9.53795817451083e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.30382791143226e-23,4.81547493679779,0.533,0.01,1.00204390305215e-18,"Atg13-202",1.00204390305215e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.30382791143226e-23,4.76924400979432,0.533,0.01,1.00204390305215e-18,"Myo5a-206",1.00204390305215e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.30382791143226e-23,4.15483828941415,0.533,0.01,1.00204390305215e-18,"Slco2a1-201",1.00204390305215e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.38214850944441e-23,3.70103550493702,0.567,0.014,1.0622364154484e-18,"Plxnb2-202",1.0622364154484e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.38214850944441e-23,3.97260448357635,0.567,0.014,1.0622364154484e-18,"Bhlhe41-201",1.0622364154484e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.46721299005718e-23,3.87273545000701,0.567,0.014,1.12761187137855e-18,"Tmbim1-202",1.12761187137855e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.55745887517299e-23,3.41506812836347,0.567,0.014,1.19696944392545e-18,"Ppt1-201",1.19696944392545e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.66466437921542e-23,4.95567717908611,0.667,0.039,1.27936116200222e-18,"Dst-211",1.27936116200222e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.67522965886418e-23,3.41232594254534,0.533,0.01,1.28748100202347e-18,"Dennd4c-202",1.28748100202347e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.70589089501289e-23,4.12793687662009,0.633,0.029,1.31104538845321e-18,"Dnmt3a-201",1.31104538845321e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.78339065316399e-23,3.41075098923565,0.533,0.01,1.37060705258265e-18,"Rufy1-201",1.37060705258265e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.02739998864229e-23,3.38744713941245,0.7,0.039,1.55813798727114e-18,"Top2a-201",1.55813798727114e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.49310318274512e-23,4.3976999265671,0.6,0.024,4.22166952006694e-18,"Itgax-201",4.22166952006694e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
7.23797943959196e-23,3.64149370851491,0.633,0.029,5.562676718504e-18,"Ccl2-201",5.562676718504e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.04923963502971e-23,3.44746459517133,0.633,0.029,6.18616262910574e-18,"Fbxo32-201",6.18616262910574e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
9.55264451490785e-23,2.01011903329965,0.667,0.034,7.34158941548728e-18,"Rap2b-201",7.34158941548728e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.16640456112091e-22,3.32981934211073,0.633,0.029,8.96428561403864e-18,"Arhgef3-202",8.96428561403864e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.27546722647879e-22,4.50342216269475,0.633,0.034,9.80247582238009e-18,"Plau-201",9.80247582238009e-18,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.44089685435234e-22,2.62632251898508,0.633,0.029,1.10738686844395e-17,"Plxnd1-201",1.10738686844395e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.49030705417408e-22,4.69174677341706,0.633,0.034,1.14536058341495e-17,"Il7r-201",1.14536058341495e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.99254710841133e-22,3.34550136377281,0.667,0.039,1.53135215469844e-17,"Hmmr-201",1.53135215469844e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.52427961952154e-22,5.13180596210201,0.6,0.029,1.94000985878709e-17,"Ndrg1-201",1.94000985878709e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.00113695822721,0.433,0,2.04673208442247e-17,"Lamc2-203",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.00113695711221,0.433,0,2.04673208442247e-17,"Lamc2-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.41374114633916,0.433,0,2.04673208442247e-17,"Lrp12-202",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.36167377777444,0.433,0,2.04673208442247e-17,"Ephx1-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.66890382210667,0.433,0,2.04673208442247e-17,"Naglu-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.47829779435039,0.433,0,2.04673208442247e-17,"Col6a1-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.4432102907089,0.433,0,2.04673208442247e-17,"Ptgr1-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.27752932658301,0.433,0,2.04673208442247e-17,"Orai2-202",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,6.18182931657097,0.433,0,2.04673208442247e-17,"Eng-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.34889031128384,0.433,0,2.04673208442247e-17,"Fbln7-202",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.66314321235391e-22,7.34889031128384,0.433,0,2.04673208442247e-17,"Fbln7-201",2.04673208442247e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.6902494895361e-22,3.48148938591728,0.567,0.019,2.06756434268807e-17,"Uggt1-201",2.06756434268807e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.84847449082323e-22,2.93553339835206,0.6,0.024,2.18916658517729e-17,"Postn-203",2.18916658517729e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.93579850042307e-22,3.02577218101921,0.733,0.053,2.25627857951514e-17,"Cebpa-201",2.25627857951514e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.00769426957504e-22,2.72226130895398,0.6,0.024,2.3115333539392e-17,"Plcg2-201",2.3115333539392e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.01323632746788e-22,3.75935202275629,0.567,0.019,2.31579264711217e-17,"Myo1e-201",2.31579264711217e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.11035773187961e-22,4.89816218016364,0.533,0.014,2.39043433125876e-17,"Col6a3-202",2.39043433125876e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.18596819452147e-22,5.86199288462192,0.5,0.01,2.44854399621753e-17,"Nrp2-204",2.44854399621753e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.18596819452147e-22,5.86199288462192,0.5,0.01,2.44854399621753e-17,"Nrp2-203",2.44854399621753e-17,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
